tag,name,A_MHz,B_MHz,C_MHz,doc_url
030508,N 15 NH +,,45603.02,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030508.cat
030509,N 2 D +,,38554.74,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030509.cat
030510,DCO +,,36019.77,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030510.cat
030511,D 13 C 15 N,,34531.3,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030511.cat
030512,"NO + , v = 0, 1",,59597.147,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030512.cat
030513,C 18 O +,,56174.56,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030513.cat
030514,H 2 13 CNH,196195.49,33747.23,28706.33,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030514.cat
030515,H 2 CND,157673.92,32069.01,28706.33,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030515.cat
030516,H 2 C 15 NH,196195.49,33747.23,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030516.cat
030517,"NO, v = 0",,50847.8,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030517.cat
030518,"NO, v = 1",,50321.04,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030518.cat
030519,H 2 CNH 2 +,151415.0,31338.38,25901.93,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030519.cat
030520,"NO + , v = 1 – 0, 2 – 1",,59597.147,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030520.cat
030521,"NO + , v = 2 – 0",,59597.147,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030521.cat
031501,HDCO,198118.36,34909.107,29562.871,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031501.cat
031502,13 C 18 O,,52356.001,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031502.cat
031503,H 2 13 CO,281993.04,37809.107,33215.941,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031503.cat
031504,H 2 COH +,197581.56,34350.55,29172.65,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031504.cat
031505,CF,,42197.06,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031505.cat
031506,HC 18 O +,,42581.265,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031506.cat
031507,"CF + , v = 0, 1",,51294.15,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031507.cat
031508,D 13 CO +,,35366.71,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031508.cat
031509,15 NND +,,37380.57,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031509.cat
031510,N 15 ND +,,38009.27,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031510.cat
031511,13 C 18 O +,,53579.9,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031511.cat
031512,15 NO,,49050.54,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031512.cat
031513,N 17 O,,49449.41,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031513.cat
031514,H 2 C 17 O,281965.8,37810.313,17.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031514.cat
031515,CH 2 OH,194535.0,29843.4,25947.5,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031515.cat
031516,15 N 2 H +,,44132.188,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031516.cat
031517,DC 17 O +,,35170.869,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031517.cat
031518,CH 3 O,155500.0,27930.105,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e031518.cat
032501,PH,,252200.81,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032501.cat
032502,D 2 CO,141653.6,32282.506,26186.347,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032502.cat
032503,H 2 C 18 O,281961.4,36902.276,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032503.cat
032504,"CH 3 OH, v t = 0 – 2",127523.4,24692.5,23760.3,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032504.cat
032505,DC 18 O +,,34413.785,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032505.cat
032506,H 2 13 COH +,197563.5,33378.7,28468.2,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032506.cat
032507,HD 13 CO,197648.21,32191.2,29035.86,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032507.cat
032508,"O 2 , v = 0",,43100.44,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032508.cat
032509,"13 CF + , v = 0, 1",,48875.05,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032509.cat
032510,"O 2 , a 1 Δ",1.0,42504.522,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032510.cat
032511,S,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032511.cat
032512,LiCCH,,10544.09,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032512.cat
032513,N 18 O,,48211.77,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032513.cat
032514,15 N 17 O,,47651.93,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032514.cat
032515,15 N 2 D +,,36817.847,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e032515.cat
