tag	molecule	#lines	lg(Q(300))	lg(Q(225))	lg(Q(150))	lg(Q(75))	lg(Q(37.500))	lg(Q(18.750))	lg(Q(9.375))
36004	HCl+	779	2.294389721867631	2.1691796207451977	2.0106302171683574	1.777726882172759	1.6055539128506875	1.520483532740792	1.5042533209548867
36005	HCl$^+$	2583	2.294389721867631	2.1691796207451977	2.0106302171683574	1.777726882172759	1.6055539128506875	1.520483532740792	1.5042533209548867
37001	DCl	254	2.194029548611753	2.0701217605020035	1.8963145300170332	1.6025938452877824	1.3165951120641752	1.0461711761120582	0.8084878065054434
37002	C3H	4990	3.798212145755409	3.6648497949566963	3.471436368649864	3.1217144294469925	2.7379789897048616	2.3227238172005285	1.924317026680532
37003	c-C3H	2973	4.015200135433554	3.8334000259514642	3.57279994931255	3.1289998857499857	2.69640007813349	2.283699149626056	1.9101012292137514
37004	DCl+	207	1.9586985939487729	1.8275850741269817	1.6577717527163691	1.392805952769927	1.1636592157511616	0.9962094872162685	0.9167854650459112
37005	DCl$^+$	779	1.9586985939487729	1.8275850741269817	1.6577717527163691	1.392805952769927	1.1636592157511616	0.9962094872162685	0.9167854650459112
38001	HCl-37	137	1.9112481883263892	1.7885289546097507	1.617052788978206	1.3304543597219978	1.058881339349561	0.8188854145940099	0.6523430550627147
38002	c-C3H2	30436	4.121542682158679	3.9226351651669766	3.6547933314767196	3.2035472593437726	2.753472824487886	2.305013477327938	1.8597559616222066
38003	C3D	1560	3.5538758692177357	3.425085641807995	3.23956433050127	2.910684209630531	2.5577589234982963	2.1681853511280287	1.7477084873725717
38004	c-CCC-13-H	6541	4.190569301517509	4.0662638037609184	3.8572074921100334	3.4404748380591097	3.009275740368954	2.5962881419108634	2.2221510002334215
38005	c-C-13-CCH	9753	4.491899955342731	4.366600038550356	4.1549000664576745	3.7290001154937427	3.2797000166861343	2.8311995868638595	2.386300946337541
38006	c-C3D	6001	3.782262607062007	3.7190936778326913	3.6021081736278657	3.3145684611626827	2.932956293980951	2.52475457543809	2.1481588802370366
38007	H37Cl+	779	2.2949859661472636	2.1697599328778625	2.0111803760604063	1.778155593306748	1.6058844372322136	1.5206708350628395	1.50445998800505
38008	H37Cl+IRUV	2583	2.2949859661472636	2.1697599328778625	2.0111803760604063	1.778155593306748	1.6058844372322136	1.5206708350628395	1.50445998800505
39001	c-HC-13-CCH	17768	3.8165538066211457	3.6292802294043973	3.3652357962493076	2.9142767118578137	2.4641734735216096	2.015656449883444	1.5702813504601159
39002	c-HCC-13-CH	6892	3.8216485186385096	3.634344089612848	3.370268950081453	2.9192870790071446	2.469169495425972	2.020630561184689	1.5752132550316331
39003	c-C3HD	21610	3.8692920648647613	3.6821603712157795	3.418115151276994	2.967091540047615	2.5168612699118853	2.0680904549580674	1.6222015847600604
39004	DCl-37	228	2.195298970297093	2.0713995989949097	1.8975996034280378	1.6038045181079525	1.3177918160530715	1.0473138158153883	0.8094250287970343
39005	NaO	6440	3.8467991671556954	3.671633876071062	3.436802370257045	3.054791025207359	2.7150723716936276	2.419808096295426	2.143806431421532
39006	K-atom	11	0.9030682717249623	0.9030628427385579	0.9030519845621465	0.9030085491415496	0.9029270960172628	0.9027695766456967	0.9024489297350986
40001	CH3CCH	813	3.734699922369262	3.547100102549503	3.2835000086475454	2.8323000179229756	2.382499724125919	1.9457983661298046	1.5367982483044182
40002	NaOH	91	2.6979995756506723	2.572900631610063	2.3968006639352475	2.0960997326776925	1.796102319214386	1.497302925540968	1.2009051916849918
40003	SiC	982	3.195268914371489	3.0436510958767045	2.824191852077612	2.423260623310262	2.014825361926198	1.665705727241563	1.3974481088506667
40004	SiC-v1	703	3.195268914371489	3.0436510958767045	2.824191852077612	2.423260623310262	2.014825361926198	1.665705727241563	1.3974481088506667
40005	KH	40	1.8000362418279794	1.6720516539373864	1.4959742565973477	1.1989318699322091	0.9069811532288541	0.6247975789607612	0.3622939379642311
40006	C2O	354	3.2109879356644453	3.086075987011027	2.9100213093683838	2.6092176794801643	2.3087451363599487	2.008936406904035	1.7106081029526188
40007	MgO	44	2.5735921188173596	2.4409090820652177	2.262066462050052	1.9613973614791091	1.6618694523476032	1.3639878297484915	1.0693350347899393
41001	CH3CN	1728	4.0051059851245245	3.817602524276081	3.5534402330779877	3.1021541372699484	2.6523240040964557	2.2156819686346885	1.8068275397563942
